format,freq
Variety,94.7
Public,94.7
Alternative,94.9
Public,94.9
News/Talk,95.1
Variety,95.1
Classic Hits,95.3
Chr. Contemp.,95.3
Public,95.3
Religious,95.3
Top 40,95.7
Religious,95.9
Gospel,101.3
Chr. Contemp.,96.1
Top 40,96.1
Gospel,96.3
Chr. Contemp.,96.5
Talk,96.5
Classic Rock,96.5
Alternative,96.5
Classic Rock,96.7
Chr. Contemp.,96.7
Classical,96.9
Classic Rock,96.9
Religious,96.9
Religious,96.9
Country,97.1
Public,97.1
Top 40,97.3
Gospel,97.3
Urban,97.5
Religious,97.7
Religious,97.7
Chr. Contemp.,97.9
Chr. Contemp.,97.9
Classical,98.3
Religious,98.5
Chr. Contemp.,98.5
A.C.,98.5
A.C.,98.5
Chr. Contemp.,98.7
Country,98.9
A.A.A.,98.9
Country,99.3
Classical,99.3
Talk,99.5
Talk,92.5
Religious,100.1
Religious,100.1
Chr. Contemp.,100.1
Top 40,100.1
Religious,100.3
Gospel,100.7
